num_files	year	N
173	2022	55
173	2023	5
173	2024	63
174	2014	145
174	2015	2
174	2016	28
174	2017	41
174	2018	26
174	2019	26
174	2020	60
174	2021	126
174	2022	49
174	2023	5
174	2024	65
175	2014	142
175	2015	2
175	2016	26
175	2017	40
175	2018	26
175	2019	23
175	2020	55
175	2021	128
175	2022	56
175	2023	5
175	2024	65
176	2014	141
176	2015	2
176	2016	29
176	2017	42
176	2018	26
176	2019	26
176	2020	60
176	2021	130
176	2022	51
176	2023	5
176	2024	63
177	2014	142
177	2015	2
177	2016	29
177	2017	41
177	2018	25
177	2019	29
177	2020	62
177	2021	133
177	2022	58
177	2023	5
177	2024	62
178	2014	145
178	2015	2
178	2016	27
178	2017	41
178	2018	25
178	2019	27
178	2020	66
178	2021	132
178	2022	52
178	2023	5
178	2024	61
179	2014	144
179	2015	2
179	2016	29
179	2017	41
179	2018	26
179	2019	25
179	2020	64
179	2021	130
179	2022	55
179	2023	5
179	2024	66
180	2014	145
180	2015	2
180	2016	24
180	2017	40
180	2018	26
180	2019	25
180	2020	64
180	2021	129
180	2022	57
180	2023	5
180	2024	63
181	2014	143
181	2015	2
181	2016	28
181	2017	43
181	2018	26
181	2019	24
181	2020	61
181	2021	126
181	2022	57
181	2023	5
181	2024	63
182	2014	149
182	2015	2
