id	fragment_scans	mz	rt	height	has_MSMS_scan
1332	0	555.22655	1.5713	59870	FALSE
1334	0	255.1456	1.5789	58840	FALSE
1335	0	296.15951	1.5743	82410	FALSE
1338	0	319.16979	1.584	219500	FALSE
1355	0	459.20811	1.6141	243500	FALSE
1366	0	182.04229	1.621	101800	FALSE
1368	4	290.1714	1.6137	773400	TRUE
1378	2	272.16084	1.6141	343000	TRUE
1382	0	333.17709	1.6226	88000	FALSE
1405	7	295.12929	1.6513	436200	TRUE
1410	0	142.06128	1.6692	79020	FALSE
1414	1	286.1765	1.6624	380900	TRUE
1415	4	288.19213	1.6739	267600	TRUE
1416	2	361.17214	1.6684	317800	TRUE
1418	3	203.17568	1.6937	422000	TRUE
1420	0	199.08285	1.6835	108600	FALSE
1430	0	305.20739	1.7013	199000	FALSE
1437	0	483.19301	1.7048	85000	FALSE
1441	0	228.13469	1.7052	126900	FALSE
1448	2	334.16127	1.7186	255300	TRUE
1493	0	228.05063	1.7629	264200	FALSE
1496	0	290.17139	1.7664	569600	FALSE
1503	1	332.18201	1.7682	502700	TRUE
1515	18	301.13983	1.7864	1043000	TRUE
1521	0	339.16527	1.7925	65790	FALSE
1537	11	323.12214	1.7986	529400	TRUE
1545	7	217.15507	1.8041	829900	TRUE
1551	0	302.1437	1.7963	136800	FALSE
1564	0	319.13686	1.819	4783000	FALSE
1596	0	210.17025	1.8439	158500	FALSE
1622	0	543.16037	1.8606	190900	FALSE
1623	0	182.13896	1.8507	105500	FALSE
1624	0	229.11874	1.8638	114800	FALSE
1630	0	320.14035	1.8644	788500	FALSE
1635	2	278.13911	1.8606	268400	TRUE
1644	6	335.11077	1.8705	342000	TRUE
1651	0	287.12424	1.8807	254200	FALSE
1652	2	481.18997	1.8719	4431000	TRUE
1657	0	343.21601	1.8808	235700	FALSE
1661	0	258.21804	1.8823	476200	FALSE
1670	0	315.18453	1.8879	200900	FALSE
1676	0	273.14488	1.8907	228900	FALSE
1689	0	257.16121	1.8934	299900	FALSE
1725	8	252.12348	1.9158	2249000	TRUE
1743	1	299.16066	1.9318	417100	TRUE
1755	0	300.14468	1.9445	339000	FALSE
1804	0	230.11801	1.9769	4220000	FALSE
1811	0	374.16044	1.9891	223000	FALSE
1812	0	264.12358	2.0062	294600	FALSE
1815	2	329.13491	1.9974	1953000	TRUE
1844	0	296.14989	2.006	214700	FALSE
1860	0	204.10225	2.0244	557700	FALSE
1861	2	299.16066	2.0303	588600	TRUE
1876	4	302.20788	2.0498	5194000	TRUE
1880	0	262.10772	2.0558	192200	FALSE
1892	1	324.1903	2.0524	818800	TRUE
1897	0	1020.43523	2.0535	354100	FALSE
1905	0	354.20128	2.061	434900	FALSE
