Node,clique_id
6105,2214313_3
6100,2214313_3
6103,2214313_3
6109,2214305_3
6093,2214310_4
6330,2214543_3
6311,2214310_4
6327,2214543_3
6121,2214327_6
6152,2214492_11
6141,2214471_9
6147,2214485_11
6162,2214492_11
6143,2214487_8
6146,2214489_4
6129,2214331_8
6165,2214492_11
6163,2214492_11
6170,2214469_11
6149,2214424_13
6155,2214492_11
6156,2214488_8
6132,2214374_13
6142,2214483_9
6168,2214492_11
6177,2214429_12
6169,2214492_11
6145,2214433_12
6138,2214424_13
6144,2214479_10
6148,2214488_8
6175,2214469_11
6159,2214492_11
6154,2214467_11
6140,2214428_12
6136,2214378_8
6178,2214492_11
6153,2214457_13
6158,2214492_11
6176,2214492_11
6151,2214491_9
6181,2214489_4
6194,2214481_10
6161,2214464_9
6174,2214488_8
6171,2214455_11
6187,2214493_2
6406,2214493_2
6212,2214503_5
6200,2214496_3
6219,2214505_6
6210,2214501_5
6203,2214497_3
6224,2214502_5
6217,2214505_6
6227,2214505_6
6226,2214505_6
6229,2214505_6
6228,2214505_6
6263,2214525_3
6261,2214524_3
6271,2214524_3
6279,2214534_3
6284,2214534_3
6264,2214526_2
6266,2214526_2
6268,2214528_3
6277,2214528_3
6273,2214528_3
